date,lottery_nr,winning
30-12-2008,4633,"8,11,13,17,23,40"
27-12-2008,4632,"3,7,38,40,45,47"
25-12-2008,4631,"2,10,17,33,39,46"
23-12-2008,4630,"8,9,17,21,31,32"
20-12-2008,4629,"8,12,24,25,40,48"
18-12-2008,4628,"9,16,18,19,39,40"
16-12-2008,4627,"17,21,23,30,44,48"
13-12-2008,4626,"3,7,38,40,43,46"
11-12-2008,4625,"5,10,32,36,47,49"
09-12-2008,4624,"11,22,24,27,40,42"
06-12-2008,4623,"11,16,18,19,26,28"
04-12-2008,4622,"1,16,24,27,48,49"
02-12-2008,4621,"9,14,32,36,44,47"
29-11-2008,4620,"3,21,26,36,39,45"
27-11-2008,4619,"5,15,30,37,40,46"
25-11-2008,4618,"4,9,22,24,40,45"
22-11-2008,4617,"17,20,23,32,34,48"
20-11-2008,4616,"3,4,9,20,22,43"
18-11-2008,4615,"10,17,22,36,44,49"
15-11-2008,4614,"5,9,15,17,20,32"
13-11-2008,4613,"6,24,25,26,32,42"
11-11-2008,4612,"13,15,25,27,35,37"
08-11-2008,4611,"3,14,24,33,39,43"
06-11-2008,4610,"8,13,18,21,24,47"
04-11-2008,4609,"3,5,6,19,32,47"
01-11-2008,4608,"2,3,6,11,16,36"
30-10-2008,4607,"2,22,31,36,44,46"
28-10-2008,4606,"4,6,19,37,41,42"
25-10-2008,4605,"10,22,24,34,40,46"
23-10-2008,4604,"8,22,24,33,35,40"
21-10-2008,4603,"5,6,26,30,34,45"
18-10-2008,4602,"3,6,18,19,28,33"
16-10-2008,4601,"7,17,20,22,23,41"
14-10-2008,4600,"4,17,24,40,42,44"
11-10-2008,4599,"8,29,38,42,45,47"
09-10-2008,4598,"8,15,17,24,36,39"
07-10-2008,4597,"9,13,14,34,46,47"
04-10-2008,4596,"18,19,22,34,37,38"
02-10-2008,4595,"4,6,14,23,48,49"
30-09-2008,4594,"5,7,15,21,28,47"
27-09-2008,4593,"6,7,9,21,29,46"
25-09-2008,4592,"6,16,19,33,37,49"
23-09-2008,4591,"7,15,16,24,48,49"
20-09-2008,4590,"5,15,25,27,45,47"
18-09-2008,4589,"1,13,16,17,22,37"
16-09-2008,4588,"1,4,8,28,36,40"
13-09-2008,4587,"4,13,17,28,30,40"
11-09-2008,4586,"4,6,18,24,32,35"
09-09-2008,4585,"14,17,22,24,33,46"
06-09-2008,4584,"9,14,24,31,38,48"
04-09-2008,4583,"9,16,30,40,45,48"
02-09-2008,4582,"24,26,33,36,37,46"
30-08-2008,4581,"1,4,11,18,45,46"
28-08-2008,4580,"10,19,26,31,42,45"
26-08-2008,4579,"5,8,31,32,41,47"
23-08-2008,4578,"9,20,25,29,30,39"
21-08-2008,4577,"22,35,42,43,46,49"
19-08-2008,4576,"2,8,11,21,35,39"
16-08-2008,4575,"5,18,21,31,32,34"
14-08-2008,4574,"11,26,27,32,47,48"
12-08-2008,4573,"4,8,10,20,39,46"
09-08-2008,4572,"17,22,23,25,40,45"
07-08-2008,4571,"5,15,17,24,41,46"
05-08-2008,4570,"1,10,16,31,32,44"
