amount,date,degree,lottery_nr,number,winning
,31-12-1967,,571 ,,"15,19,23,35,39,41"
,29-12-1968,,624 ,,"5,7,28,31,44,49"
,24-12-1967,,570 ,,"1,11,12,23,33,47"
,17-12-1967,,569 ,,"9,17,18,22,44,46"
,10-12-1967,,568 ,,"1,7,9,16,26,45"
,03-12-1967,,567 ,,"1,11,16,37,40,46"
,26-11-1967,,566 ,,"3,19,31,32,36,37"
,19-11-1967,,565 ,,"3,4,21,25,33,45"
,12-11-1967,,564 ,,"8,24,38,42,43,47"
,05-11-1967,,563 ,,"7,14,25,27,30,31"
,29-10-1967,,562 ,,"4,17,33,40,47,49"
,22-10-1967,,561 ,,"2,17,26,29,30,39"
,15-10-1967,,560 ,,"1,9,27,32,35,45"
,08-10-1967,,559 ,,"5,15,33,36,39,40"
,01-10-1967,,558 ,,"5,17,23,25,37,43"
,24-09-1967,,557 ,,"14,20,29,42,47,49"
,17-09-1967,,556 ,,"12,33,43,44,47,49"
,10-09-1967,,555 ,,"2,12,21,23,40,47"
,03-09-1967,,554 ,,"4,7,20,22,24,36"
,27-08-1967,,553 ,,"2,5,14,16,31,33"
,20-08-1967,,552 ,,"6,10,28,34,35,47"
,13-08-1967,,551 ,,"5,11,12,14,36,49"
,06-08-1967,,550 ,,"2,20,30,44,47,49"
,30-07-1967,,549 ,,"15,20,29,33,39,46"
,22-12-1968,,623 ,,"11,14,18,33,45,47"
,15-12-1968,,622 ,,"2,23,30,33,40,46"
,08-12-1968,,621 ,,"1,6,10,13,32,33"
,01-12-1968,,620 ,,"17,22,24,25,36,48"
,24-11-1968,,619 ,,"11,18,19,32,35,39"
,17-11-1968,,618 ,,"6,16,21,30,40,47"
,10-11-1968,,617 ,,"5,7,13,20,32,41"
,03-11-1968,,616 ,,"7,11,16,32,33,47"
,27-10-1968,,615 ,,"8,12,13,21,25,29"
,20-10-1968,,614 ,,"10,11,12,26,30,41"
,13-10-1968,,613 ,,"1,6,14,20,27,29"
,06-10-1968,,612 ,,"4,9,12,29,30,33"
,29-09-1968,,611 ,,"3,22,29,39,43,46"
,22-09-1968,,610 ,,"9,13,15,28,33,44"
,15-09-1968,,609 ,,"4,8,17,24,29,46"
,08-09-1968,,608 ,,"2,16,25,27,32,39"
,26-12-1965,,464 ,,"18,22,25,42,45,48"
,23-07-1967,,548 ,,"10,14,17,22,26,34"
,16-07-1967,,547 ,,"1,7,15,34,35,49"
,09-07-1967,,546 ,,"6,22,23,32,35,46"
,02-07-1967,,545 ,,"1,20,23,40,44,46"
,25-06-1967,,544 ,,"1,2,18,34,36,45"
,18-06-1967,,543 ,,"11,13,19,41,44,49"
,11-06-1967,,542 ,,"2,9,11,17,18,39"
,04-06-1967,,541 ,,"1,5,16,17,29,43"
,28-05-1967,,540 ,,"12,15,17,25,26,28"
,21-05-1967,,539 ,,"6,14,17,25,37,38"
,14-05-1967,,538 ,,"3,9,12,17,18,34"
,07-05-1967,,537 ,,"4,12,13,14,23,29"
,01-09-1968,,607 ,,"15,25,28,32,34,42"
,25-08-1968,,606 ,,"1,3,8,22,30,35"
,18-08-1968,,605 ,,"2,10,11,26,35,44"
,11-08-1968,,604 ,,"6,16,32,37,39,44"
,04-08-1968,,603 ,,"3,12,14,29,32,41"
,28-07-1968,,602 ,,"2,24,26,36,37,46"
,21-07-1968,,601 ,,"5,8,25,30,31,35"
,14-07-1968,,600 ,,"4,7,12,14,17,43"
,07-07-1968,,599 ,,"2,9,12,16,28,39"
,30-06-1968,,598 ,,"13,15,20,31,36,40"
,23-06-1968,,597 ,,"10,13,21,24,40,42"
,16-06-1968,,596 ,,"5,10,12,32,41,49"
,09-06-1968,,595 ,,"17,20,24,35,43,46"
,02-06-1968,,594 ,,"13,15,25,29,37,40"
,26-05-1968,,593 ,,"3,24,28,31,38,42"
,19-05-1968,,592 ,,"4,8,19,26,31,47"
,19-12-1965,,463 ,,"10,13,20,32,37,47"
,12-12-1965,,462 ,,"1,3,6,12,32,35"
,05-12-1965,,461 ,,"1,5,31,33,43,48"
,28-11-1965,,460 ,,"14,16,26,30,34,45"
,21-11-1965,,459 ,,"5,12,17,31,42,46"
,14-11-1965,,458 ,,"19,25,28,30,37,48"
,07-11-1965,,457 ,,"5,16,17,18,21,43"
,31-10-1965,,456 ,,"6,15,17,19,38,48"
,24-10-1965,,455 ,,"2,5,28,29,31,38"
,17-10-1965,,454 ,,"5,10,19,24,26,38"
,10-10-1965,,453 ,,"2,4,14,15,38,42"
,03-10-1965,,452 ,,"2,6,10,43,47,48"
,26-09-1965,,451 ,,"2,22,29,31,36,45"
,19-09-1965,,450 ,,"7,15,26,27,31,41"
,12-09-1965,,449 ,,"6,13,25,30,33,47"
,05-09-1965,,448 ,,"9,10,29,30,44,47"
,29-08-1965,,447 ,,"14,15,18,21,29,45"
,22-08-1965,,446 ,,"2,10,15,17,25,47"
,28-12-1969,,678 ,,"7,17,26,32,34,38"
,30-04-1967,,536 ,,"9,17,20,22,36,42"
,23-04-1967,,535 ,,"6,9,15,25,33,37"
,16-04-1967,,534 ,,"14,16,39,40,44,47"
,09-04-1967,,533 ,,"8,14,17,33,36,45"
,02-04-1967,,532 ,,"8,18,27,37,40,44"
,26-03-1967,,531 ,,"11,22,27,30,44,46"
,19-03-1967,,530 ,,"12,19,20,30,40,43"
,12-03-1967,,529 ,,"1,17,22,31,33,35"
,05-03-1967,,528 ,,"8,11,24,39,40,44"
,05-03-1967,,527 ,,"4,34,35,39,40,42"
,26-02-1967,,526 ,,"8,10,18,28,31,49"
,19-02-1967,,525 ,,"14,25,29,34,44,48"
,12-02-1967,,524 ,,"21,29,31,33,36,39"
,05-02-1967,,523 ,,"6,14,16,20,27,39"
,29-01-1967,,522 ,,"11,23,24,32,37,38"
,22-01-1967,,521 ,,"4,11,26,38,41,46"
,15-01-1967,,520 ,,"7,9,41,42,46,47"
